Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; GTB7.1; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; InfoPath.2; .NET CLR 3.5.30729; .NET4.0C; .NET CLR 3.0.30729; AskTbFWV5/5.12.2.16749; 978803803)|
Dalvik/1.2.0 (Linux; U; Android 2.2.1; GT-S5570B Build/FROYO)|http://gsm.lge.com/html/gsm/P990-M3-D2.xml
Mozilla/5.0 (Linux; U; Android 2.3.5; en-gb; GT-I9000 Build/MIUI) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://wap.samsungmobile.com/uaprof/GT-i9000.xml
Opera/9.80 (Windows Mobile; Opera Mini/5.1.21594/26.984; U; pt) Presto/2.8.119 Version/10.54|
Mozilla/5.0 (Linux; U; Android 2.2.2; en-us; SCH-M828C[9083397752] Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Opera/9.80 (J2ME/MIDP; Opera Mini/4.3.24492/26.984; U; en) Presto/2.8.119 Version/10.54|
Opera/9.80 (J2ME/MIDP; Opera Mini/4.1.14287/26.984; U; id) Presto/2.8.119 Version/10.54|
Opera/9.80 (J2ME/MIDP; Opera Mini/4.2.16007/26.984; U; en) Presto/2.8.119 Version/10.54|
Opera/9.80 (Android 1.6; Linux; Opera Mobi/ADR-1110071847; U; en) Presto/2.9.201 Version/11.50|
Mozilla/5.0 (iPod touch; U; CPU iPhone OS 5_0 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPod4,1;FBMD/iPod touch;FBSN/iPhone OS;FBSV/5.0;FBSS/2; FBCR/;FBID/phone;FBLC/en_US;FBSF/2.0]|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_3 like Mac OS X; ar_AR) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.1;FBBV/4010.0;FBDV/iPhone2,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.3.3;FBSS/1; FBCR/Vodafone;FBID/phone;FBLC/ar_AR;FBSF/1.0]|
Dalvik/1.4.0 (Linux; U; Android 2.3.4; GT-S5670 Build/GINGERBREAD)|http://www.htcmms.com.tw/Android/Common/PG863/ua-profile.xml
Mozilla/5.0 (SymbianOS/9.2; U; Series60/3.1 NokiaE63-3/200.21.012; Profile/MIDP-2.0 Configuration/CLDC-1.1) AppleWebKit/413 (KHTML, like Gecko) Safari/413|http://nds1.nds.nokia.com/uaprof/NE63-3r100.xml
Opera/9.80 (Android 3.2.1; Linux; Opera Tablet/ADR-1110071847; U; en) Presto/2.9.201 Version/11.50|
Opera/9.80 (Android 2.2; Linux; Opera Mobi/ADR-1110071847; U; nl) Presto/2.9.201 Version/11.50|
Mozilla/5.0 (Linux; U; Android 2.2.2; en-us; SCH-M828C[3046140517] Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Mozilla/5.0 (Linux; U; Android 2.3.3; sk-sk; HTC_WildfireS_A510e Build/GRI40) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www.htcmms.com.tw/Android/Common/PG76/ua-profile.xml
BlackBerry8310/4.5.0.187 Profile/MIDP-2.0 Configuration/CLDC-1.1 VendorID/161|http://www.blackberry.net/go/mobile/profiles/uaprof/8310/4.2.2.rdf
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_3 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0;FBBV/4000.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.3.3;FBSS/2; FBCR/OrangeUK;FBID/phone;FBLC/en_US;FBSF/2.0]|
Mozilla/5.0 (Linux; U; Android 2.2.2; de-de; MB860 Build/Blur_Version.4.4.20.MB860.Retail.en.DE Flex/P023) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_2_1 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.1;FBBV/4010.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.2.1;FBSS/2; FBCR/vodafoneUK;FBID/phone;FBLC/en_US;FBSF/2.0]|
Dalvik/1.4.0 (Linux; U; Android 2.3.7; IDEOS X5 Build/GRJ22)|
gt-s5233w/UC Browser7.9.0.102/69/444 UNTRUSTED/1.0|
Mozilla/5.0 (Linux; U; Android 2.3.4; hu-hu; GT-S5570 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www.htcmms.com.tw/Android/Common/PG863/ua-profile.xml
Opera/9.80 (J2ME/MIDP; Opera Mini/4.2.14386/26.984; U; ar) Presto/2.8.119 Version/10.54|
Opera/9.80 (J2ME/MIDP; Opera Mini/4.12814/26.984; U; es) Presto/2.8.119 Version/10.54|
Blackberry 9700/5.0.0.862 Profile/MIDP-2.1 Configuration/CLDC-1.1 VendorID/609|http://www.blackberry.net/go/mobile/profiles/uaprof/9700_umts/5.0.0.rdf
sgh-f480/UC Browser7.9.0.102/69/352 UNTRUSTED/1.0|
Mozilla/5.0 (Linux; U; Android 2.3.2; pl-pl; SonyEricssonR800iv Build/3.0.A.2.184) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Dalvik/1.2.0 (Linux; U; Android 2.2.1; Milestone Build/SHOLS_U2_05.26.4)|http://uaprof.motorola.com/phoneconfig/motoa853/Profile/motoa853.rdf
Mozilla/5.0 (iPod touch; U; CPU iPhone OS 4_2_1 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPod4,1;FBMD/iPod touch;FBSN/iPhone OS;FBSV/4.2.1;FBSS/2; FBCR/;FBID/phone;FBLC/en_US;FBSF/2.0]|
Mozilla/5.0 (Linux; U; Android 2.3.3; en-fr; HTC_DesireS_S510e Build/GRI40) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www.htcmms.com.tw/Android/Common/PG88/ua-profile.xml
Dalvik/1.2.0 (Linux; U; Android 2.2.2; LG-KU3700 Build/FRG83G)|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_3 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.3.3;FBSS/2; FBCR/vodaAU;FBID/phone;FBLC/en_US;FBSF/2.0]|
Mozilla/5.0 (Linux; U; Android 2.3.3; en-id; Desire HD Build/GRI40) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www.htcmms.com.tw/Android/Common/PG88/ua-profile.xml
Mozilla/5.0 (Series40; NokiaC2-02/06.96; Profile/MIDP-2.1 Configuration/CLDC-1.1) Gecko/20100401 S40OviBrowser/1.0.2.26.8|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_2 like Mac OS X; en-gb) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8H7 Safari/6533.18.5 Cydia/1.1.2 CyF/550.58|
Nokia6310i/1.0 (4.06) Profile/MIDP-1.0 Configuration/CLDC-1.0|http://nds.nokia.com/uaprof/N6310r100.xml
Dalvik/1.4.0 (Linux; U; Android 2.3.4; ME525+ Build/4.5.2-109_DHT-17)|http://www.htcmms.com.tw/Android/Common/PG863/ua-profile.xml
Opera/9.80 (Android 2.3.1; Linux; Opera Mobi/ADR-1110071847; U; fr) Presto/2.9.201 Version/11.50|http://wap.sonyericsson.com/UAprof/LT15iR301.xml
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_3 like Mac OS X; sv_SE) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.1;FBBV/4010.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.3.3;FBSS/2; FBCR/TELIA;FBID/phone;FBLC/sv_SE;FBSF/2.0]|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 5_0 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone4,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/5.0;FBSS/2; FBCR/O2;FBID/phone;FBLC/en_US;FBSF/2.0]|
Opera/9.80 (Android 2.2; Linux; Opera Mobi/ADR-1110071847; U; it) Presto/2.9.201 Version/11.50|
Mozilla/5.0 (Linux; U; Android 2.3.6; ko-kr; SHV-E160S Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Mozilla/5.0 (Linux; U; Android 2.3.7; en-us; HTC Desire Build/GRK39F) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://uaprof.vtext.com/adr62k/adr62k.xml
Mozilla/5.0 (iPhone; U; CPU iPhone OS 5_0 like Mac OS X; de_DE) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/5.0;FBSS/2; FBCR/Vodafone.de;FBID/phone;FBLC/de_DE;FBSF/2.0]|
Mozilla/5.0 (Linux; U; Android 2.3.3; ko-kr; SHW-M250S Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 NAVER(inapp; search; 101; 3.0.2)|
Dalvik/1.4.0 (Linux; U; Android 2.3.4; SHW-M250L Build/4.5.2A-KT-75)|http://www.htcmms.com.tw/Android/Common/PG863/ua-profile.xml
Mozilla/5.0 (Linux; U; Android 1.6; en-us; E10i Build/1.1.A.0.8) AppleWebKit/528.5+ (KHTML, like Gecko) Version/3.1.2 Mobile Safari/525.20.1|http://wap.sonyericsson.com/UAprof/E10iR102.xml
Blackberry9780/6.0.0.294 Profile/MIDP-2.1 Configuration/CLDC-1.1 VendorID/-1|http://www.blackberry.net/go/mobile/profiles/uaprof/9780/6.0.0.rdf
Mozilla/5.0 (Linux; U; Android 2.3.3; en-au; SonyEricssonST18i Build/4.0.A.2.368) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_2_1 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone2,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.2.1;FBSS/1; FBCR/OrangeUK;FBID/phone;FBLC/en_US;FBSF/1.0]|
Mozilla/5.0 (iPod touch; U; CPU iPhone OS 4_2_1 like Mac OS X; bg_BG) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/3.5a;FBBV/3500;FBDV/iPod3,1;FBMD/iPod touch;FBSN/iPhone OS;FBSV/4.2.1;FBSS/1; FBCR/;FBID/phone;FBLC/bg_BG]|
Mozilla/5.0 (Linux; U; Android 2.3.3; en-nl; HTC Sensation Z710e Build/GRI40) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_4 like Mac OS X; de_DE) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.3.4;FBSS/2; FBCR/Carrier;FBID/phone;FBLC/de_DE;FBSF/2.0]|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_5 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone2,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.3.5;FBSS/1; FBCR/O2;FBID/phone;FBLC/en_US;FBSF/1.0]|
Mozilla/5.0 (Linux; U; Android 2.1-update1; en-in; SonyEricssonU20i Build/2.0.2.A.0.24) AppleWebKit/530.17 (KHTML, like Gecko) Version/4.0 Mobile Safari/530.17|http://wap.sonyericsson.com/UAprof/U20iR202.xml
Mozilla/5.0 (Linux; U; Android 2.2.1; ja-jp; SBM003SH Build/S1900) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://gsm.lge.com/html/gsm/P990-M3-D2.xml
NokiaX3-00/5.0 (08.54) Profile/MIDP-2.1 Configuration/CLDC-1.1 nokiax3-00/UC Browser7.9.0.102/70/352 UNTRUSTED/1.0|http://nds1.nds.nokia.com/uaprof/NX3-00r100.xml
Mozilla/5.0 (Linux; U; Android 2.3.3; ko-kr; HTC_S710E Build/GRI40) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Opera/9.80 (iPhone; Opera Mini/6.1.15738/26.984; U; nb) Presto/2.8.119 Version/10.54|
Dalvik/1.4.0 (Linux; U; Android 2.3.5; Droid Build/MIUI-1.9.16.0-SHOLES-EN)|
Opera/9.80 (J2ME/MIDP; Opera Mini/4.2.22892/26.984; U; en) Presto/2.8.119 Version/10.54|
Opera/9.80 (J2ME/MIDP; Opera Mini/4.9751/26.984; U; id) Presto/2.8.119 Version/10.54|
Mozilla/5.0 (Linux; U; Android 2.2; fr-fr; LG-P500 Build/FRF91) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Mozilla/5.0 (Linux; U; Android 2.1-update1; vi-vn; X10i Build/2.1.A.0.435) AppleWebKit/525.10+ (KHTML, like Gecko) Version/3.0.4 Mobile Safari/523.12.2 (AdMob-ANDROID-20091123)|http://wap.sonyericsson.com/UAprof/X10iR201.xml
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_2_1 like Mac OS X; de_DE) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.1;FBBV/4010.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.2.1;FBSS/2; FBCR/Carrier;FBID/phone;FBLC/de_DE;FBSF/2.0]|
Dalvik/1.1.0 (Linux; U; Android 2.1-Strabors-Mod-2.1.3; ZTE Racer Build/ERE27)|
Opera/9.80 (Android 2.3.7; Linux; Opera Mobi/ADR-1110071847; U; de) Presto/2.9.201 Version/11.50|
Mozilla/5.0 (Series40; Nokia5310XpressMusic/10; Profile/MIDP-2.1 Configuration/CLDC-1.1) Gecko/20100401 S40OviBrowser/1.4.0.34.8|http://nds1.nds.nokia.com/uaprof/N5310XpressMusicr100.xml
Mozilla/5.0 (Linux; U; Android 2.2.2; en-us; HTC Aria Build/FRG83G) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 androidAppVersion/2.1 AndroidWebkitWrapper|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Mozilla/5.0 ( ; U; CPU iPhone OS 4_3_3 like Mac OS X; en-us) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8J2 Safari/6533.18.5|
Mozilla/5.0 (Linux; U; Android 2.3.5; en-us; HTC Glacier Build/GRJ90) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Dalvik/1.4.0 (Linux; U; Android 2.3.6; Nexus One Build/MOG)|
iPhone - Safari 528.16 (iPhone OS 3.0)|
Mozilla/5.0 (Linux; U; Android 2.3.3; de_de) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Ninesky/1.7.0 Safari/533.1|
Mozilla/5.0 (iPad; U; CPU iPhone OS 4_3_3 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0;FBBV/4000.0;FBDV/iPad1,1;FBMD/iPad;FBSN/iPhone OS;FBSV/4.3.3;FBSS/1; FBCR/;FBID/tablet;FBLC/en_US;FBSF/1.0]|
Dalvik/1.2.0 (Linux; U; Android 2.2; X06HT Build/FRF91)|
Opera/9.80 (J2ME/MIDP; Opera Mini/4.2.14881/26.984; U; es) Presto/2.8.119 Version/10.54|
Nokia2690/10.10|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 5_0 like Mac OS X; de_DE) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/3.5a;FBBV/3500;FBDV/iPhone2,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/5.0;FBSS/1; FBCR/Telekom.de;FBID/phone;FBLC/de_DE]|
Mozilla/5.0 (Linux; U; Android 2.1-update1; sr-rs; GT-I9000 Build/ECLAIR) AppleWebKit/525.10+ (KHTML, like Gecko) Version/3.0.4 Mobile Safari/523.12.2 (AdMob-ANDROID-20091123)|http://wap.samsungmobile.com/uaprof/GT-i9000.xml
Dalvik/1.4.0 (Linux; U; Android 2.3.5; Desire HD Build/GRI40)|http://uaprof.vtext.com/adr62k/adr62k.xml
Mozilla/5.0 (Series40; Nokia5330-1d/06.88; Profile/MIDP-2.1 Configuration/CLDC-1.1) Gecko/20100401 S40OviBrowser/1.4.0.34.8|http://nds1.nds.nokia.com/uaprof/N5330-1dr100.xml
Opera/9.80 (J2ME/MIDP; Opera Mini/4.2.13227/26.984; U; en) Presto/2.8.119 Version/10.54|
Dalvik/1.2.0 (Linux; U; Android 2.2.2; MB525 Build/JEM_3.4.3-36-1.1)|http://uaprof.motorola.com/phoneconfig/MotoMB525/profile/MotoMB525.rdf
Dalvik/1.2.0 (Linux; U; Android 2.2.1; iDx7 Build/FROYO)|http://gsm.lge.com/html/gsm/P990-M3-D2.xml
SonyEricssonJ10i2/R7CA|http://wap.sonyericsson.com/UAprof/J10i2R101.xml
Mozilla/5.0 (Linux; U; Android 2.3.4; en-us; Nexus One Build/GRJ71) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Dalvik/1.4.0 (Linux; U; Android 2.3.5; HTC Desire S Build/GRJ22)|http://uaprof.vtext.com/adr62k/adr62k.xml
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_2 like Mac OS X; de_DE) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.3.2;FBSS/2; FBCR/Telekom.de;FBID/phone;FBLC/de_DE;FBSF/2.0]|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_0_1 like Mac OS X; de_DE) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.0.1;FBSS/2; FBCR/Telekom.de;FBID/phone;FBLC/de_DE;FBSF/2.0]|
Mozilla/5.0 (aYeN; U; CPU iPhone OS 4_2_1 like Mac OS X; en-us) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8C148 Safari/6533.18.5|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_5 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.1;FBBV/4010.0;FBDV/iPhone2,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.3.5;FBSS/1; FBCR/3;FBID/phone;FBLC/en_US;FBSF/1.0]|
NokiaC1-01/2.0 (04.40) Profile/MIDP-2.1 Configuration/CLDC-1.1 nokiac1-01/UC Browser7.8.0.95/69/352 UNTRUSTED/1.0|
Dalvik/1.4.0 (Linux; U; Android 2.3.4; DROID BIONIC Build/5.5.1_84_DBN-91-LaunchKit)|
Opera/9.80 (J2ME/MIDP; Opera Mini/5.22349/26.984; U; en) Presto/2.8.119 Version/10.54|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_3 like Mac OS X; ar_AR) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.3.3;FBSS/2; FBCR/ZainKW;FBID/phone;FBLC/ar_AR;FBSF/2.0]|
Dalvik/1.4.0 (Linux; U; Android 2.3.4; GT-S5830D Build/GINGERBREAD)|http://www.htcmms.com.tw/Android/Common/PG863/ua-profile.xml
NokiaX3-00/5.0 (11.00) Profile/MIDP-2.1 Configuration/CLDC-1.1 nokiax3-00/UC Browser7.6.1.82/69/352 UNTRUSTED/1.0|http://nds1.nds.nokia.com/uaprof/NX3-00r100.xml
Mozilla/5.0 (iPhone; CPU iPhone OS 5_0 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) 1Password/3.6.1/361005 (like Mobile/8C148 Safari/6533.18.5)|
NokiaC1-01/2.0 (05.40) Profile/MIDP-2.1 Configuration/CLDC-1.1 nokiac1-01/UC Browser7.9.0.102/70/352|
Dalvik/1.4.0 (Linux; U; Android 2.3.4; FIH-FB0 Build/GRJ22)|http://www.htcmms.com.tw/Android/Common/PG863/ua-profile.xml
Dalvik/1.4.0 (Linux; U; Android 2.3.4; MB526 Build/4.5.1_128)|http://www.htcmms.com.tw/Android/Common/PG863/ua-profile.xml
Mozilla/5.0 (Linux; U; Android 2.2.2; ko; LG-P970 Build/FRG83G) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 MMS/LG-Android-MMS-V1.0/1.2|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
gt-s5233s UNTRUSTED/1.0 UNTRUSTED/1.0|
Nokia5310XpressMusic/2.0 (10.10) Profile/MIDP-2.1 Configuration/CLDC-1.1 nokia5310xpressmusic/UC Browser7.0.0.41/69/352 UNTRUSTED/1.0|http://nds1.nds.nokia.com/uaprof/N5310XpressMusicr100.xml
Mozilla/5.0 (Linux; U; Android 2.3.4; ko-kr; LG-KU3700 Build/GRJ22) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 MMS/LG-Android-MMS-V1.0/1.2|http://www.htcmms.com.tw/Android/Common/PG863/ua-profile.xml
Mozilla/5.0 (iPhone; U; CPU iPhone OS 5_0 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone2,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/5.0;FBSS/1; FBCR/AT&T;FBID/phone;FBLC/en_US;FBSF/1.0]|
Mozilla/5.0 (Linux; U; Android 2.3.3; zh-tw; SonyEricssonR800i Build/3.0.1.A.0.145) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Mozilla/5.0 (Linux; U; Android 2.3.4; da-us; pcdadr6350 Build/GRJ22) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www.htcmms.com.tw/Android/Common/PG863/ua-profile.xml
Opera/9.80 (J2ME/MIDP; Opera Mini/4.1.11313/26.984; U; es) Presto/2.8.119 Version/10.54|
Blackberry 9700/6.0.0.570 Profile/MIDP-2.1 Configuration/CLDC-1.1 VendorID/100|http://www.blackberry.net/go/mobile/profiles/uaprof/9700_umts/5.0.0.rdf
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_2 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.1;FBBV/4010.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.3.2;FBSS/2; FBCR/AT|
Dalvik/1.2.0 (Linux; U; Android 2.2.2; MB860 Build/OLYLA_U4_0.54.0_R01)|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_2_1 like Mac OS X; de_DE) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/3.5a;FBBV/3500;FBDV/iPhone2,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.2.1;FBSS/1; FBCR/Telekom.de;FBID/phone;FBLC/de_DE]|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_5 like Mac OS X; en-us) AppleWebKit/533.17.9 (KHTML, like Gecko) Mobile/8L1 HPSwissKnife/4.0|
Mozilla/5.0 (Linux; U; Android 2.3.5; en-au; GT-I9100 Build/MIUI) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Mozilla/5.0 (iPad; U; CPU iPhone OS 4_3_4 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPad2,1;FBMD/iPad;FBSN/iPhone OS;FBSV/4.3.4;FBSS/1; FBCR/;FBID/tablet;FBLC/en_US;FBSF/1.0]|
Blackberry 9700/6.0.0.448 Profile/MIDP-2.1 Configuration/CLDC-1.1 VendorID/327|http://www.blackberry.net/go/mobile/profiles/uaprof/9700_umts/5.0.0.rdf
Mozilla/5.0 (Linux; U; Android 2.2.2; en-us; SCH-M828C[7408566616] Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Mozilla/5.0 (Linux; U; Android 2.3.5; en-us; Droid Build/MIUI-1.10.7.0-SHOLES-EN) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Opera/9.80 (J2ME/MIDP; Opera Mini/4.2.22228/26.984; U; sr) Presto/2.8.119 Version/10.54|
Dalvik/1.2.0 (Linux; U; Android 2.2.2; LG-P500h Build/FRG83)|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Mozilla/5.0 (BlackBerry; U; BlackBerry 9790; en-US) AppleWebKit/534.11+ (KHTML, like Gecko) Version/7.0.0.473 Mobile Safari/534.11+|
Opera/9.80 (J2ME/MIDP; Opera Mini/4.13067/26.984; U; es) Presto/2.8.119 Version/10.54|
BlackBerry9700/5.0.0.586 Profile/MIDP-2.1 Configuration/CLDC-1.1 VendorID/610|http://www.blackberry.net/go/mobile/profiles/uaprof/9700_umts/5.0.0.rdf
Dalvik/1.4.0 (Linux; U; Android 2.3.5; YP-G70 Build/GINGERBREAD)|
SonyEricssonK600i/R2BB Browser/SEMC-Browser/4.2 Profile/MIDP-2.0 Configuration/CLDC-1.1|http://wap.sonyericsson.com/UAprof/K600iR101.xml
Mozilla/5.0 (iPad; U; CPU iPhone OS 4_3_3 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPad1,1;FBMD/iPad;FBSN/iPhone OS;FBSV/4.3.3;FBSS/1; FBCR/;FBID/tablet;FBLC/en_US;FBSF/1.0]|
Mozilla/5.0 (Linux; U; Android 2.3.5; de-de; HTC HD2 Build/MIUI) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
